nylat,nylng,nyculmt,chilat,chilng,chiculmt,denlat,denlng,denculmt
-74.01658655,40.70306601,91950,41.9835333,-87.65176746,92275,39.75038819,-105.0040275,91250
-74.01661073,40.70305965,92375,41.98350984,-87.65177609,92825,39.75037147,-105.0040057,91750
-74.01663491,40.70305328,92675,41.9834862,-87.65178424,93250,39.75035476,-105.0039839,92450
-74.01665908,40.70304692,93250,41.98346328,-87.65179421,93850,39.75033817,-105.0039619,92975
-74.01668326,40.70304056,93900,41.98343991,-87.65180303,94400,39.75032163,-105.00394,93650
-74.01670762,40.70303991,94300,41.9834166,-87.651812,94675,39.75030509,-105.003918,94225
-74.01673217,40.70304467,94850,41.98339396,-87.65182261,95225,39.75028855,-105.003896,94800
-74.01675671,40.70304944,95525,41.98337068,-87.65183169,95525,39.75027201,-105.0038741,95000
-74.01678125,40.7030542,95800,41.98334751,-87.65184103,95925,39.75025547,-105.0038521,95500
-74.01680579,40.70305897,96050,41.98332485,-87.6518516,96300,39.75023893,-105.0038301,96100
-74.01683033,40.70306373,96700,41.98330147,-87.65186045,96650,39.75022239,-105.0038081,96525
-74.01685487,40.70306849,97300,41.9832781,-87.65186932,97150,39.75020585,-105.0037862,96850
-74.01687942,40.70307326,97900,41.98325478,-87.65187834,97600,39.75018931,-105.0037642,97350
-74.01690396,40.70307802,98525,41.98323171,-87.65188796,98025,39.75017277,-105.0037422,97850
-74.0169285,40.70308279,98875,41.98320861,-87.65189753,98425,39.75015623,-105.0037203,98350
-74.01695304,40.70308755,99200,41.98318524,-87.65190639,98625,39.75013969,-105.0036983,98750
-74.01697758,40.70309232,99675,41.9831623,-87.65191631,98875,39.75012315,-105.0036763,99250
-74.01700212,40.70309708,100225,41.98313835,-87.65192293,99325,39.75010661,-105.0036544,99600
-74.01702667,40.70310185,100925,41.98311427,-87.6519292,99625,39.75009007,-105.0036324,100000
-74.01705121,40.70310661,101250,41.98309109,-87.65193853,100075,39.75007353,-105.0036104,100300
-74.01707575,40.70311138,101575,41.98306699,-87.65194517,100750,39.75005699,-105.0035884,100650
-74.01710029,40.70311614,101900,41.98304256,-87.65195044,101275,39.75004045,-105.0035665,101225
-74.01712483,40.70312091,102300,41.98301829,-87.6519564,101525,39.75002391,-105.0035445,101475
-74.01714175,40.70313592,102900,41.98299408,-87.65196265,101850,39.75000737,-105.0035225,101700
-74.01715336,40.70315806,103275,41.98296968,-87.65196806,102100,39.74999083,-105.0035006,102375
-74.01716497,40.7031802,103750,41.98294508,-87.65197253,102625,39.74997429,-105.0034786,102675
-74.01717657,40.70320234,104000,41.98292063,-87.65197774,103225,39.74995793,-105.0034565,103350
-74.01718818,40.70322448,104650,41.98289626,-87.65198328,103925,39.74994156,-105.0034344,103550
-74.01719979,40.70324663,105050,41.98287185,-87.6519887,104125,39.74992519,-105.0034123,104025
-74.0172114,40.70326877,105625,41.9828475,-87.65199435,104800,39.74990883,-105.0033902,104550
-74.017223,40.70329091,106125,41.98282303,-87.65199942,105225,39.74989246,-105.0033681,104825
-74.01723461,40.70331305,106325,41.98279834,-87.65200331,105775,39.7498761,-105.003346,105525
-74.01724622,40.70333519,106550,41.98277394,-87.65200872,106100,39.74985973,-105.0033239,106225
-74.01725783,40.70335733,106900,41.98274947,-87.6520138,106775,39.74984336,-105.0033018,106825
-74.01726944,40.70337948,107400,41.98272484,-87.65201804,107225,39.749827,-105.0032797,107425
-74.01728104,40.70340162,107925,41.98270054,-87.65202393,107425,39.74981063,-105.0032576,108100
-74.01729265,40.70342376,108200,41.98267614,-87.65202934,108025,39.74979427,-105.0032355,108500
-74.01730009,40.70344656,108650,41.98265165,-87.65203436,108425,39.7497779,-105.0032134,109100
-74.01729586,40.7034712,108850,41.98262694,-87.65203816,108925,39.74976153,-105.0031913,109700
-74.01729163,40.70349584,109350,41.98260229,-87.65204231,109475,39.74974517,-105.0031692,110025
-74.01728741,40.70352048,109825,41.98257769,-87.65204678,110025,39.7497288,-105.0031471,110300
-74.01728318,40.70354512,110375,41.98255311,-87.65205135,110650,39.74971244,-105.003125,110725
-74.01727895,40.70356976,110775,41.9825287,-87.65205666,110875,39.74969607,-105.0031029,111075
-74.01727472,40.7035944,111125,41.9825044,-87.65206245,111500,39.7496797,-105.0030808,111500
-74.0172705,40.70361904,111325,41.9824796,-87.65206555,111800,39.74966334,-105.0030587,111700
-74.01725289,40.70363632,111800,41.9824547,-87.65206778,112275,39.74964697,-105.0030366,112300
-74.01723434,40.70365308,112225,41.98242981,-87.65207016,112925,39.74963061,-105.0030145,112825
-74.01721579,40.70366984,112675,41.98240498,-87.652073,113575,39.74961424,-105.0029924,113325
-74.01719724,40.70368659,113200,41.98238029,-87.65207695,114100,39.74959787,-105.0029703,113675
-74.01717868,40.70370335,113650,41.98235588,-87.65208236,114700,39.74958151,-105.0029482,114200
-74.01716013,40.70372011,113975,41.9823318,-87.65208906,114975,39.74956515,-105.0029261,114725
-74.01714158,40.70373687,114250,41.9823071,-87.65209205,115225,39.74954879,-105.002904,115350
-74.01712303,40.70375363,114675,41.98228221,-87.65209417,115825,39.74953243,-105.0028819,115725
-74.01710448,40.70377039,115150,41.98225741,-87.65209728,116400,39.74951607,-105.0028598,116250
-74.01708426,40.7037843,115575,41.98223251,-87.65209942,116600,39.74949971,-105.0028377,116625
-74.01706059,40.70379235,115875,41.98220785,-87.6521035,116900,39.74948335,-105.0028156,117100
-74.01703692,40.70380039,116375,41.98218313,-87.65210711,117575,39.74946699,-105.0027935,117450
-74.01701325,40.70380843,116950,41.98215815,-87.65210813,118000,39.74945063,-105.0027714,117975
-74.01698957,40.70381648,117300,41.98213321,-87.65210991,118575,39.74943427,-105.0027493,118525
-74.0169659,40.70382452,117925,41.98210821,-87.65211,119125,39.74941791,-105.0027272,118975
-74.01694223,40.70383257,118250,41.98208329,-87.65211174,119350,39.74940155,-105.0027051,119175
-74.01691856,40.70384061,118600,41.98205853,-87.65211496,119925,39.74938519,-105.0026829,119525
-74.01689489,40.70384865,119200,41.9820339,-87.652119,120150,39.74936883,-105.0026608,120025
-74.01687122,40.7038567,119600,41.9820089,-87.652119,120700,39.74935247,-105.0026387,120625
-74.01684755,40.70386474,120100,41.9819839,-87.652119,121225,39.74933611,-105.0026166,120825
-74.01682388,40.70387279,120425,41.9819589,-87.65211904,121475,39.74931975,-105.0025945,121300
-74.01680021,40.70388083,120950,41.98193392,-87.65211993,122150,39.74930339,-105.0025724,121575
-74.01677636,40.70388816,121175,41.98190898,-87.6521217,122800,39.74928703,-105.0025503,121775
-74.01675171,40.70389232,121675,41.98188404,-87.65212345,123175,39.74927067,-105.0025282,122100
-74.01672706,40.70389647,122325,41.98185912,-87.65212265,123475,39.74925431,-105.0025061,122650
-74.0167024,40.70390062,122675,41.98183426,-87.65212007,123925,39.74923795,-105.002484,123050
-74.01667775,40.70390478,123025,41.98180945,-87.65211699,124375,39.74922119,-105.0024622,123450
-74.0166531,40.70390893,123625,41.98178458,-87.65211532,124875,39.74920411,-105.0024407,123950
-74.01662845,40.70391308,124050,41.98175969,-87.65211497,125525,39.74918702,-105.0024191,124425
-74.01660379,40.70391724,124375,41.98173514,-87.65211022,125975,39.74916994,-105.0023976,124650
-74.01657914,40.70392139,125000,41.98171042,-87.65210653,126175,39.74915286,-105.002376,124875
-74.01655449,40.70392554,125375,41.98168611,-87.65210097,126750,39.74913577,-105.0023545,125475
-74.01652984,40.7039297,125725,41.98166227,-87.65209348,127150,39.74911869,-105.0023329,125675
-74.01650518,40.70393385,126150,41.98163886,-87.6520847,127850,39.7491016,-105.0023114,125950
-74.01648053,40.703938,126775,41.98161493,-87.65207764,128350,39.74908452,-105.0022898,126375
-74.01645588,40.70394216,127300,41.98159061,-87.65207182,128825,39.74906744,-105.0022683,126800
-74.01643122,40.70394631,127575,41.98156666,-87.65206471,129300,39.74905035,-105.0022467,127250
-74.01640657,40.70395046,128025,41.98154269,-87.65205774,129925,39.74903327,-105.0022252,127625
-74.0163917,40.70396502,128650,41.98151817,-87.65205283,130575,39.74901619,-105.0022036,128275
-74.01638603,40.70398937,129200,41.98149413,-87.65204604,131225,39.7489991,-105.0021821,128700
-74.01638037,40.70401372,129650,41.98147009,-87.65203918,131875,39.74898202,-105.0021605,128925
-74.01637471,40.70403807,130350,41.98144599,-87.65203255,132400,39.74896493,-105.002139,129250
